Date,Jumlah Bidan,Jumlah Perawat,Jumlah Dokter Umum,Jumlah Ahli Gizi,AVLOS (Day),BOR (%),GDR (/K),Layanan OBGYN,NDR (/K),TOI (Day),Bayi BBLR,Rasio_BBLR,Persentase_ASI,Rasio_AKI,Rasio_AKB,days_in_month,HI,BTO_month,IdleShare,EDR,ASI_gap_target,BOR_status,TOI_status,Capacity_alert,BOR (%)_fc_lower,BOR (%)_fc_upper,AVLOS (Day)_fc_lower,AVLOS (Day)_fc_upper,NDR (/K)_fc_lower,NDR (/K)_fc_upper,GDR (/K)_fc_lower,GDR (/K)_fc_upper,TOI (Day)_fc_lower,TOI (Day)_fc_upper,Rasio_AKI_fc_lower,Rasio_AKI_fc_upper,Rasio_AKB_fc_lower,Rasio_AKB_fc_upper,Rasio_BBLR_fc_lower,Rasio_BBLR_fc_upper
2020-11-01,25253.0,55984.0,7907.0,2733.0,,,,354.0,,,33.0,0.0666666666666666,0.669,1.84,1.86,30.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-12-01,25253.0,55984.0,7907.0,2733.0,,,,328.0,,,33.0,0.0666666666666666,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2021-01-01,32112.0,55350.0,18919.0,3253.0,3.71,59.41666666666666,89.01333333333332,362.0,38.970000000000006,3.3966666666666665,40.0,0.0808080808080808,0.6960999999999999,2.26,1.8,31.0,7.1066666666666665,4.362101313320825,0.4058333333333334,50.043333333333315,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-02-01,32112.0,55350.0,18919.0,3253.0,3.91,50.88,79.88333333333334,366.0,34.836666666666666,5.04,40.0,0.0808080808080808,0.6960999999999999,2.26,1.8,28.0,8.95,3.128491620111732,0.49119999999999997,45.046666666666674,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-03-01,32112.0,55350.0,18919.0,3253.0,3.6033333333333335,53.28,66.42666666666666,392.0,30.74,3.2099999999999995,40.0,0.0808080808080808,0.6960999999999999,2.26,1.8,31.0,6.813333333333333,4.549902152641879,0.46719999999999995,35.68666666666667,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-04-01,32112.0,55350.0,18919.0,3253.0,3.533333333333333,57.21,54.75,496.0,26.39,3.23,47.0,0.0949494949494949,0.6960999999999999,2.26,1.8,30.0,6.763333333333334,4.435682602267127,0.42789999999999995,28.36,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-05-01,32112.0,55350.0,18919.0,3253.0,3.6266666666666665,53.07666666666666,64.96333333333332,438.0,23.7,3.616666666666666,47.0,0.0949494949494949,0.6960999999999999,2.26,1.8,31.0,7.243333333333332,4.279797514956282,0.4692333333333334,41.26333333333332,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-06-01,32112.0,55350.0,18919.0,3253.0,4.03,57.34,57.79333333333333,400.0,31.616666666666664,3.120000000000001,47.0,0.0949494949494949,0.6960999999999999,2.26,1.8,30.0,7.150000000000001,4.195804195804195,0.4266,26.176666666666666,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-07-01,32112.0,55350.0,18919.0,3253.0,4.47,48.20333333333334,141.6266666666667,424.0,93.53666666666668,4.489999999999999,45.0,0.0909090909090909,0.6960999999999999,2.26,1.8,31.0,8.959999999999999,3.459821428571429,0.5179666666666666,48.09000000000002,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-08-01,32112.0,55350.0,18919.0,3253.0,4.316666666666666,41.84,88.34666666666665,376.0,63.5,5.156666666666667,45.0,0.0909090909090909,0.6960999999999999,2.26,1.8,31.0,9.473333333333333,3.2723434201266715,0.5815999999999999,24.84666666666665,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-09-01,32112.0,55350.0,18919.0,3253.0,3.4,40.41666666666666,49.6,410.0,26.82,5.786666666666666,45.0,0.0909090909090909,0.6960999999999999,2.26,1.8,30.0,9.186666666666666,3.2656023222060964,0.5958333333333334,22.78,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
